customer_id,gender,is_senior_citizen,partner,dependents,partner_dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,avg charges,Check,Start Date,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,Contract Type,Phone Service,Internet Service
0017-IUDMW,Female,0,Yes,Yes,3,2,2,2,Credit card (automatic),116.8,"8,456.75",No,72.40,116.80,TRUE,20150812,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0018-NYROU,Female,0,Yes,No,1,1,2,0,Electronic check,68.95,351.50,No,5.10,68.95,TRUE,20210312,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0019-EFAEP,Female,0,No,No,0,2,2,2,Bank transfer (automatic),101.3,"7,261.25",No,71.68,101.30,TRUE,20150912,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0019-GFNTW,Female,0,No,No,0,0,1,2,Bank transfer (automatic),45.05,"2,560.10",No,56.83,45.05,TRUE,20161212,TRUE,FALSE,FALSE,TRUE,FALSE,2 Year,No Phone Service,DSL
0020-INWCK,Female,0,Yes,Yes,3,2,2,2,Credit card (automatic),95.75,"6,849.40",No,71.53,95.75,TRUE,20150912,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0020-JDNXP,Female,0,Yes,Yes,3,0,1,1,Mailed check,61.25,"1,993.20",No,32.54,61.25,TRUE,20181212,TRUE,FALSE,FALSE,TRUE,FALSE,1 Year,No Phone Service,DSL
0021-IKXGC,Female,1,No,No,0,2,2,0,Electronic check,72.1,72.10,No,1.00,72.10,TRUE,20210712,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0022-TCJCI,Male,1,No,No,0,1,1,1,Credit card (automatic),62.7,"2,791.50",Yes,44.52,62.70,TRUE,20171212,FALSE,TRUE,TRUE,TRUE,TRUE,1 Year,One Line,DSL
0023-HGHWL,Male,1,No,No,0,0,1,0,Electronic check,25.1,25.10,Yes,1.00,25.10,TRUE,20210712,FALSE,TRUE,FALSE,TRUE,FALSE,Month-to-Month,No Phone Service,DSL
0023-UYUPN,Female,1,Yes,No,1,2,0,1,Electronic check,25.2,"1,306.30",No,51.84,25.20,TRUE,20170512,TRUE,FALSE,TRUE,FALSE,FALSE,1 Year,Two or More Lines,No Internet Service
0023-XUOPT,Female,0,Yes,No,1,2,2,0,Electronic check,94.1,"1,215.60",Yes,12.92,94.10,TRUE,20200812,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0027-KWYKW,Female,0,Yes,Yes,3,2,2,0,Electronic check,83.75,"1,849.95",No,22.09,83.75,TRUE,20191012,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0030-FNXPP,Female,0,No,No,0,1,0,0,Mailed check,19.85,57.20,No,2.88,19.85,TRUE,20210612,TRUE,FALSE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0031-PVLZI,Female,0,Yes,Yes,3,1,0,0,Mailed check,20.35,76.35,Yes,3.75,20.35,TRUE,20210512,TRUE,TRUE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0032-PGELS,Female,0,Yes,Yes,3,0,1,0,Bank transfer (automatic),30.5,30.50,Yes,1.00,30.50,TRUE,20210712,TRUE,TRUE,FALSE,TRUE,FALSE,Month-to-Month,No Phone Service,DSL
0036-IHMOT,Female,0,Yes,Yes,3,1,2,1,Bank transfer (automatic),103.7,"5,656.75",No,54.55,103.70,TRUE,20170212,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,Fiber Optic
0040-HALCW,Male,0,Yes,Yes,3,1,0,2,Credit card (automatic),20.4,"1,090.60",No,53.46,20.40,TRUE,20170312,FALSE,FALSE,TRUE,FALSE,FALSE,2 Year,One Line,No Internet Service
0042-JVWOJ,Male,0,No,No,0,1,0,1,Bank transfer (automatic),19.6,471.85,No,24.07,19.60,TRUE,20190812,FALSE,FALSE,TRUE,FALSE,FALSE,1 Year,One Line,No Internet Service
0042-RLHYP,Female,0,Yes,Yes,3,1,0,2,Bank transfer (automatic),19.7,"1,396.90",No,70.91,19.70,TRUE,20151012,TRUE,FALSE,TRUE,FALSE,FALSE,2 Year,One Line,No Internet Service
0048-LUMLS,Male,0,Yes,Yes,3,1,2,1,Credit card (automatic),91.2,"3,247.55",No,35.61,91.20,TRUE,20180912,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,Fiber Optic
0048-PIHNL,Female,0,Yes,No,1,1,0,1,Bank transfer (automatic),20.45,900.90,No,44.05,20.45,TRUE,20171212,TRUE,FALSE,TRUE,FALSE,FALSE,1 Year,One Line,No Internet Service
0052-DCKON,Male,0,Yes,No,1,2,2,1,Bank transfer (automatic),115.8,"7,942.15",No,68.59,115.80,TRUE,20151212,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
0052-YNYOT,Female,0,No,No,0,1,0,1,Electronic check,20.55,"1,343.40",No,65.37,20.55,TRUE,20160312,TRUE,FALSE,TRUE,FALSE,FALSE,1 Year,One Line,No Internet Service
0056-EPFBG,Male,0,Yes,Yes,3,0,1,2,Credit card (automatic),39.4,825.40,No,20.95,39.40,TRUE,20191212,FALSE,FALSE,FALSE,TRUE,FALSE,2 Year,No Phone Service,DSL
0057-QBUQH,Female,0,No,Yes,2,2,0,2,Electronic check,25.1,"1,070.15",No,42.64,25.10,TRUE,20180212,TRUE,FALSE,TRUE,FALSE,FALSE,2 Year,Two or More Lines,No Internet Service
0058-EVZWM,Female,0,Yes,No,1,2,2,0,Bank transfer (automatic),89.8,"4,959.60",No,55.23,89.80,TRUE,20170112,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0060-FUALY,Female,0,Yes,No,1,2,2,0,Electronic check,94.75,"5,597.65",No,59.08,94.75,TRUE,20160912,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0064-SUDOG,Female,0,Yes,Yes,3,1,0,2,Bank transfer (automatic),20.3,224.50,No,11.06,20.30,TRUE,20200912,TRUE,FALSE,TRUE,FALSE,FALSE,2 Year,One Line,No Internet Service
0064-YIJGF,Male,0,Yes,Yes,3,2,2,0,Bank transfer (automatic),75.75,"1,929.00",No,25.47,75.75,TRUE,20190712,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0067-DKWBL,Male,1,No,No,0,1,1,0,Electronic check,49.25,91.10,Yes,1.85,49.25,TRUE,20210712,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL
0068-FIGTF,Female,0,No,No,0,1,1,1,Mailed check,78.2,"2,078.95",No,26.59,78.20,TRUE,20190612,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,DSL
0071-NDAFP,Male,0,Yes,Yes,3,2,0,2,Credit card (automatic),25.5,630.60,No,24.73,25.50,TRUE,20190812,FALSE,FALSE,TRUE,FALSE,FALSE,2 Year,Two or More Lines,No Internet Service
0074-HDKDG,Male,0,Yes,Yes,3,1,1,1,Bank transfer (automatic),61.6,"1,611.00",No,26.15,61.60,TRUE,20190612,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,DSL
0076-LVEPS,Male,0,No,Yes,2,0,1,0,Mailed check,45,"1,242.45",No,27.61,45.00,TRUE,20190512,FALSE,FALSE,FALSE,TRUE,FALSE,Month-to-Month,No Phone Service,DSL
0078-XZMHT,Male,0,Yes,No,1,2,1,2,Bank transfer (automatic),85.15,"6,316.20",No,74.18,85.15,TRUE,20150612,FALSE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,DSL
0080-EMYVY,Female,0,No,No,0,1,1,1,Credit card (automatic),51.45,727.85,No,14.15,51.45,TRUE,20200612,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,DSL
0080-OROZO,Female,0,No,No,0,1,2,1,Electronic check,99.25,"3,532.00",No,35.59,99.25,TRUE,20180912,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,Fiber Optic
0082-LDZUE,Male,0,No,No,0,1,1,0,Mailed check,44.3,44.30,No,1.00,44.30,TRUE,20210712,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL
0082-OQIQY,Male,0,No,No,0,1,2,0,Electronic check,94.2,"2,607.60",No,27.68,94.20,TRUE,20190512,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0083-PIVIK,Male,0,No,No,0,2,1,1,Electronic check,81.25,"5,567.55",No,68.52,81.25,TRUE,20151212,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,DSL
0089-IIQKO,Female,0,Yes,Yes,3,2,2,0,Credit card (automatic),99.95,"3,767.40",No,37.69,99.95,TRUE,20180712,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0093-EXYQL,Female,1,No,No,0,1,2,0,Electronic check,91.55,"3,673.60",No,40.13,91.55,TRUE,20180412,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0093-XWZFY,Male,0,No,No,0,2,2,0,Credit card (automatic),104.5,"4,036.85",Yes,38.63,104.50,TRUE,20180612,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0094-OIFMO,Female,1,No,No,0,1,2,0,Electronic check,95,"1,120.30",Yes,11.79,95.00,TRUE,20200912,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0096-BXERS,Female,0,Yes,No,1,2,1,0,Electronic check,50.35,314.55,No,6.25,50.35,TRUE,20210212,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL
0096-FCPUF,Male,0,No,No,0,2,1,0,Mailed check,64.5,"1,888.45",No,29.28,64.50,TRUE,20190312,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL
0098-BOWSO,Male,0,No,No,0,1,0,0,Electronic check,19.4,529.80,No,27.31,19.40,TRUE,20190512,FALSE,FALSE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0100-DUVFC,Male,1,Yes,No,1,2,2,1,Electronic check,104.8,"7,308.95",No,69.74,104.80,TRUE,20151112,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
0103-CSITQ,Female,0,Yes,No,1,2,2,1,Bank transfer (automatic),109.4,"6,252.70",No,57.15,109.40,TRUE,20161112,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
0104-PPXDV,Male,0,Yes,No,1,1,1,1,Credit card (automatic),50.3,"2,878.55",No,57.23,50.30,TRUE,20161112,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,DSL
0106-GHRQR,Male,0,No,No,0,2,1,0,Bank transfer (automatic),71.4,"1,212.10",No,16.98,71.40,TRUE,20200412,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL
0106-UGRDO,Female,0,Yes,No,1,2,2,2,Electronic check,116,"8,182.85",No,70.54,116.00,TRUE,20151012,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0107-WESLM,Male,0,No,No,0,1,0,0,Electronic check,19.85,19.85,Yes,1.00,19.85,TRUE,20210712,FALSE,TRUE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0107-YHINA,Male,0,No,Yes,2,2,2,0,Electronic check,99.75,99.75,Yes,1.00,99.75,TRUE,20210712,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0111-KLBQG,Male,1,Yes,Yes,3,1,2,0,Mailed check,93.95,"2,861.45",No,30.46,93.95,TRUE,20190212,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0112-QAWRZ,Male,0,Yes,Yes,3,2,2,0,Bank transfer (automatic),90.8,"1,442.20",No,15.88,90.80,TRUE,20200512,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0112-QWPNC,Male,0,Yes,No,1,2,1,1,Electronic check,84.35,"4,059.35",Yes,48.13,84.35,TRUE,20170812,FALSE,TRUE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,DSL
0114-IGABW,Female,0,Yes,No,1,0,1,2,Bank transfer (automatic),58.25,"4,145.90",No,71.17,58.25,TRUE,20150912,TRUE,FALSE,FALSE,TRUE,FALSE,2 Year,No Phone Service,DSL
0114-PEGZZ,Female,0,No,No,0,2,2,0,Electronic check,107.55,"3,645.50",No,33.90,107.55,TRUE,20181112,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0114-RSRRW,Female,0,Yes,No,1,1,0,0,Bank transfer (automatic),19.95,187.75,No,9.41,19.95,TRUE,20201112,TRUE,FALSE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0115-TFERT,Male,0,Yes,No,1,2,2,0,Electronic check,111.2,"2,317.10",Yes,20.84,111.20,TRUE,20191212,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0117-LFRMW,Male,0,Yes,Yes,3,0,1,0,Bank transfer (automatic),40.2,"1,448.80",Yes,36.04,40.20,TRUE,20180812,FALSE,TRUE,FALSE,TRUE,FALSE,Month-to-Month,No Phone Service,DSL
0118-JPNOY,Female,1,No,No,0,1,2,0,Credit card (automatic),85.8,"2,193.65",No,25.57,85.80,TRUE,20190712,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0121-SNYRK,Male,0,No,No,0,0,1,1,Mailed check,35.4,"1,748.90",No,49.40,35.40,TRUE,20170712,FALSE,FALSE,FALSE,TRUE,FALSE,1 Year,No Phone Service,DSL
0122-OAHPZ,Female,0,No,No,0,2,2,0,Electronic check,73.85,511.25,Yes,6.92,73.85,TRUE,20210212,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0123-CRBRT,Female,0,Yes,Yes,3,2,1,2,Mailed check,88.1,"5,526.75",No,62.73,88.10,TRUE,20160612,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,DSL
0125-LZQXK,Male,0,No,No,0,1,2,0,Electronic check,101.35,"1,553.95",Yes,15.33,101.35,TRUE,20200512,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0128-MKWSG,Female,0,No,Yes,2,0,1,0,Mailed check,45.8,"1,147.00",No,25.04,45.80,TRUE,20190712,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-Month,No Phone Service,DSL
0129-KPTWJ,Male,0,Yes,No,1,1,2,0,Electronic check,94.65,"6,747.35",No,71.29,94.65,TRUE,20150912,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0129-QMPDR,Male,0,Yes,Yes,3,1,0,1,Bank transfer (automatic),20.5,865.05,No,42.20,20.50,TRUE,20180212,FALSE,FALSE,TRUE,FALSE,FALSE,1 Year,One Line,No Internet Service
0130-SXOUN,Male,0,No,No,0,2,2,0,Credit card (automatic),89.4,"5,976.90",No,66.86,89.40,TRUE,20160212,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0133-BMFZO,Female,0,No,No,0,1,2,0,Electronic check,86.25,181.65,Yes,2.11,86.25,TRUE,20210612,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0134-XWXCE,Female,1,No,No,0,1,1,1,Bank transfer (automatic),74.85,"3,268.05",No,43.66,74.85,TRUE,20180112,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,DSL
0135-NMXAP,Female,0,No,No,0,2,2,0,Bank transfer (automatic),89.75,"1,052.40",Yes,11.73,89.75,TRUE,20200912,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0136-IFMYD,Male,1,Yes,No,1,2,2,2,Electronic check,109.95,"7,634.25",No,69.43,109.95,TRUE,20151112,FALSE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0137-OCGAB,Female,0,No,No,0,2,2,0,Mailed check,80.2,80.20,Yes,1.00,80.20,TRUE,20210712,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0137-UDEUO,Female,0,No,No,0,1,0,0,Mailed check,19.85,63.75,Yes,3.21,19.85,TRUE,20210512,TRUE,TRUE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0139-IVFJG,Female,0,Yes,No,1,1,2,0,Electronic check,90.35,190.50,No,2.11,90.35,TRUE,20210612,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0141-YEAYS,Female,1,No,No,0,2,2,0,Bank transfer (automatic),86.45,"2,401.05",No,27.77,86.45,TRUE,20190512,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0142-GVYSN,Male,0,No,No,0,1,0,0,Electronic check,20.3,511.25,No,25.18,20.30,TRUE,20190712,FALSE,FALSE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0147-ESWWR,Female,1,Yes,No,1,2,2,0,Electronic check,101.25,"3,949.15",No,39.00,101.25,TRUE,20180512,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0148-DCDOS,Male,0,No,No,0,2,2,0,Bank transfer (automatic),94.7,"2,362.10",Yes,24.94,94.70,TRUE,20190812,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0151-ONTOV,Female,0,No,No,0,1,2,0,Mailed check,70.9,70.90,Yes,1.00,70.90,TRUE,20210712,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0156-FVPTA,Male,0,Yes,No,1,1,1,0,Electronic check,54.2,"1,152.70",Yes,21.27,54.20,TRUE,20191112,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL
0164-APGRB,Female,0,No,No,0,2,2,2,Electronic check,114.9,"8,496.70",No,73.95,114.90,TRUE,20150712,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0164-XAIRP,Female,0,No,No,0,1,0,2,Bank transfer (automatic),19.55,470.20,No,24.05,19.55,TRUE,20190812,TRUE,FALSE,TRUE,FALSE,FALSE,2 Year,One Line,No Internet Service
0168-XZKBB,Female,0,Yes,No,1,2,2,0,Electronic check,86.85,"1,564.40",No,18.01,86.85,TRUE,20200212,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0174-QRVVY,Male,0,Yes,Yes,3,2,0,2,Credit card (automatic),25.35,"1,847.55",No,72.88,25.35,TRUE,20150812,FALSE,FALSE,TRUE,FALSE,FALSE,2 Year,Two or More Lines,No Internet Service
0177-PXBAT,Male,1,Yes,No,1,2,2,0,Bank transfer (automatic),109.9,"3,694.70",No,33.62,109.90,TRUE,20181112,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0178-CIIKR,Female,0,No,No,0,1,0,0,Mailed check,19.95,58.00,No,2.91,19.95,TRUE,20210612,TRUE,FALSE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0178-SZBHO,Male,0,Yes,Yes,3,2,2,0,Electronic check,87.2,"4,017.45",No,46.07,87.20,TRUE,20171012,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0181-RITDD,Male,0,Yes,Yes,3,1,2,2,Mailed check,108.15,"6,825.65",No,63.11,108.15,TRUE,20160512,FALSE,FALSE,TRUE,TRUE,TRUE,2 Year,One Line,Fiber Optic
0186-CAERR,Male,0,No,No,0,2,2,1,Bank transfer (automatic),116.3,"8,309.55",No,71.45,116.30,TRUE,20150912,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
0187-QSXOE,Male,1,Yes,No,1,1,2,0,Electronic check,89,605.45,No,6.80,89.00,TRUE,20210212,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0187-WZNAB,Female,0,Yes,Yes,3,1,2,0,Mailed check,74.4,"1,972.35",No,26.51,74.40,TRUE,20190612,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0188-GWFLE,Male,0,No,No,0,1,0,0,Mailed check,20.05,33.70,No,1.68,20.05,TRUE,20210712,FALSE,FALSE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0191-EQUUH,Female,0,No,Yes,2,0,1,2,Bank transfer (automatic),35.05,844.45,No,24.09,35.05,TRUE,20190812,TRUE,FALSE,FALSE,TRUE,FALSE,2 Year,No Phone Service,DSL
0191-ZHSKZ,Male,1,No,No,0,1,1,0,Electronic check,74.75,"2,111.30",No,28.24,74.75,TRUE,20190412,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL
0193-ESZXP,Female,1,Yes,No,1,1,2,1,Credit card (automatic),105.5,"6,205.50",Yes,58.82,105.50,TRUE,20161012,TRUE,TRUE,TRUE,TRUE,TRUE,1 Year,One Line,Fiber Optic
0195-IESCP,Male,0,Yes,No,1,2,2,0,Electronic check,85.25,855.30,Yes,10.03,85.25,TRUE,20201012,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0196-JTUQI,Female,0,No,No,0,2,2,0,Credit card (automatic),75.2,633.85,No,8.43,75.20,TRUE,20201212,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0196-VULGZ,Female,1,Yes,No,1,2,2,0,Electronic check,84.35,474.90,Yes,5.63,84.35,TRUE,20210312,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
0197-PNKNK,Female,0,Yes,Yes,3,2,2,1,Bank transfer (automatic),84.45,"5,848.60",No,69.26,84.45,TRUE,20151112,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
0201-MIBOL,Female,1,No,No,0,2,2,2,Bank transfer (automatic),102.4,"6,471.85",No,63.20,102.40,TRUE,20160512,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0201-OAMXR,Female,0,No,No,0,2,2,1,Credit card (automatic),115.55,"8,127.60",Yes,70.34,115.55,TRUE,20151012,TRUE,TRUE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
0203-HHYIJ,Male,0,No,No,0,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,26.73,25.30,TRUE,20190612,FALSE,TRUE,TRUE,FALSE,FALSE,1 Year,Two or More Lines,No Internet Service
0206-OYVOC,Female,0,Yes,Yes,3,1,0,2,Mailed check,19.25,864.20,No,44.89,19.25,TRUE,20171212,TRUE,FALSE,TRUE,FALSE,FALSE,2 Year,One Line,No Internet Service
0206-TBWLC,Female,0,Yes,No,1,2,2,1,Mailed check,114.65,"6,049.50",No,52.76,114.65,TRUE,20170412,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
0207-MDKNV,Female,0,No,No,0,1,2,0,Electronic check,105.1,"1,582.75",Yes,15.06,105.10,TRUE,20200512,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0208-BPQEJ,Female,0,Yes,Yes,3,1,0,0,Bank transfer (automatic),19.4,198.10,No,10.21,19.40,TRUE,20201012,TRUE,FALSE,TRUE,FALSE,FALSE,Month-to-Month,One Line,No Internet Service
0212-ISBBF,Female,0,No,No,0,0,1,0,Electronic check,50.35,"1,098.85",No,21.82,50.35,TRUE,20191112,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-Month,No Phone Service,DSL
0214-JHPFW,Female,0,Yes,No,1,0,1,2,Bank transfer (automatic),57.8,"4,039.30",No,69.88,57.80,TRUE,20151112,TRUE,FALSE,FALSE,TRUE,FALSE,2 Year,No Phone Service,DSL
0215-BQKGS,Male,0,No,No,0,1,2,0,Credit card (automatic),84.3,"2,438.60",No,28.93,84.30,TRUE,20190412,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0218-QNVAS,Male,0,Yes,Yes,3,2,2,1,Bank transfer (automatic),100.55,"7,113.75",No,70.75,100.55,TRUE,20151012,FALSE,FALSE,TRUE,TRUE,TRUE,1 Year,Two or More Lines,Fiber Optic
